taxonName,chi2,pValue,urbanCount,nonUrbanCount
Eophona migratoria,43.824217798577415,3.5923230974336845e-11,18,9
Turdus atrogularis,43.7309068759478,3.767743916489082e-11,15,5
Oxyura australis,43.691385425839385,3.8446037527354376e-11,12,333
Dicrurus leucophaeus,43.52978671228674,4.1755498753592504e-11,35,41
Spermestes cucullata,43.28680887924137,4.727599374053141e-11,24,19
Acrocephalus dumetorum,43.24712267818954,4.8244665406514666e-11,38,48
Cistothorus palustris,43.245767876151355,4.827808217386902e-11,7,286
Dendrocopos syriacus,43.08351786780933,5.2452274025120646e-11,43,60
Anthus hodgsoni,43.01058348918301,5.444454123745842e-11,47,70
Troglodytes musculus musculus,42.98201092219632,5.524551881556747e-11,14,4
Egretta tricolor,42.79054064809692,6.092605901560044e-11,87,877
Troglodytes pacificus,42.790526019835625,6.092651461450686e-11,5,265
Turdus merula merula,42.596859447052665,6.726730183826526e-11,48,73
Anas rubripes,42.486542396152586,7.117022531994834e-11,34,503
Setophaga aestiva,42.43444538936004,7.30913877969495e-11,94,921
Emberiza personata,42.43262972017448,7.315927166508028e-11,13,3
Sphyrapicus ruber,42.3248444484496,7.730427393419946e-11,12,326
Nannopterum brasilianum,42.21842260614003,8.162743560677076e-11,314,1010
Spiza americana,42.2172563443892,8.16761290787146e-11,8,290
Gavia pacifica,41.44330363218224,1.2133949514040108e-10,3,239
Tringa solitaria,41.41476827791156,1.2312369678698783e-10,24,420
Tringa brevipes,41.41193814068614,1.233020791905707e-10,39,52
Myadestes townsendi,41.291212615330515,1.311571820150117e-10,4,248
Melanitta americana,41.23065433221391,1.3528417429210784e-10,2,228
Branta canadensis,41.20963356102082,1.367469088726833e-10,586,3805
Crotophaga sulcirostris,40.942595614674325,1.5676682434598018e-10,94,210
Alauda arvensis,40.822968188287156,1.6666272517884365e-10,2,226
Pycnonotus aurigaster,40.7837154308426,1.7004420343184256e-10,34,41
Haematopus palliatus,40.539467200057615,1.9268441864458776e-10,29,454
Thraupis palmarum,40.49991386174532,1.9662471227492497e-10,121,300
Stelgidopteryx serripennis,40.48728081774648,1.9790013078318835e-10,40,536
Progne subis,40.413854444344146,2.0547885875324535e-10,16,350
Parus cinereus minor,40.38443709231754,2.0859608717855744e-10,15,6
Oriolus kundoo,40.26051083919522,2.2225634444047399e-10,22,17
Rissa tridactyla,40.24743240800141,2.2374921889940866e-10,1,213
Anas crecca crecca,40.239374491515825,2.2467400599225664e-10,32,37
